風險ID,戰略目標,子目標,主責部門,風險擁有者,營運目標,風險類別,風險情境,現有控制措施,警戒指標,行動指標,關係方,各單位可能性,各單位影響度,各單位風險等級,主責單位可能性,主責單位影響度,主責單位風險等級,回應策略,新增對策,優化建議,加權風險等級,評估優化
1057,永續發展ESG政策遵循,資訊安全,人力資源處 李英豪(FRANCE),資訊處,資安管理系統： 年底前核心系統BPM取得資安管理系統認證 ISO27001:2022,營運風險,對跨國製造業資安管理系統導入流程不熟悉，導致無法於預定時間內取得認證。,委託專業輔導跨國製造業顧問公司協助輔導管理制度並通過認證。,-,-,資訊處主管,2,2,4,2,2,4,-,-,,4.00,N/A
1058,永續發展ESG政策遵循,公司治理,人力資源處 李英豪(FRANCE),財會處,提高公司治理評鑑等級(前5%第一級公司),營運風險,因為人為疏失，失去得分機會，造成目標無法達成。,加強複核機制。,-,-,公司治理主管,1,2,2,2,1,2,-,-,,2.24,N/A
1059,永續發展ESG政策遵循,公司治理,人力資源處 李英豪(FRANCE),人力資源處,依據ESG階段性需求實施訓練: 課程滿意度≧4.35,營運風險,上課後的問卷調查學員回饋結果不佳，可能是課程內容編排、主題切合度、講師表達方式、講師和學員互動、場地安排等因素所導致調查滿意度未能達到4.35。,明訂學習目標 確認教材合宜 慎選授課講師,-,-,人力資源處主管、學員,1,3,3,1,2,2,-,-,,2.40,N/A
1060,Margin Margin Margin x Profit Profit Profit,達成預算營業利益,採購資材群 吳宗庭(CHARLY),財會處,控制呆帳金額在USD30萬內,營運風險,業務人員流動性大，新進業務人員對客戶掌握度較低，如客戶有財務危機可能不易察覺，無法提前收款，導致呆帳金額飆升。,業務內部加強教育訓練，財務部也會定期宣導注意事項。,-,-,財會處主管、業務事業群主管,3,1,3,2,2,4,-,-,,3.84,●各單位風險評估值調整：「可能性-各單位」可調整為3，「影響-各單位」可調整為1。 ●主責單位風險評估值調整：「可能性-主責單位」可調整為2，「影響-主責單位」可調整為2。
1061,專注產品項目(SSD+DRAM+EV(電動三輪車)+XPG(電競產品)+IA(工控產品)),研發單位產出技術為導向的產品Roadmap(前瞻產品),產品研發群 戴子然(NICK),人力資源處,依據營運階段性布局實施招募: 待補職缺率≦3.8%,營運風險,招募到的研發專業人才在面談之後，對公司的願景、工作文化、薪資滿意度等因素而婉拒職缺，導致待補職缺未能控制在3.8%內。,參賽認證以強化雇主品牌提供具市場競爭性的薪酬。,-,-,人力資源處主管、用人單位主管,2,2,4,3,2,6,-,-,,5.20,N/A
1062,切入AI、生成式AI、AIOT、IOT、區塊鏈應用與碳權領域,增加Enterprise及Embedded產品Roadmap,產品研發群 戴子然(NICK),工控產品行銷處,IA 產品導入客戶 AIOT / IOT 應用的數量目標20例,營運風險,C.內部因素: 1. 業務離職專案無完全交接，導致無法有效更進  針對目前風險原因評估: C1. 業務離職導致客戶專案無有效交接及後續更進,C1.業務主管需針對業務成員的專案進行了解，以防止業務離職時相關專案的進度無法掌握。,需針對各個客戶專案了解在送樣品驗證後需要的時間，然後以此驗證時間當做警戒值，若是在此時間到時未完成產品驗證，即發出警戒。,PM告知業務與業務主管此專案應完成驗證，請業務了解此專案目前在客戶的詳細狀況，以利後續做相對應的處理對策。,產品研發群主管、業務管理群主管,3,4,12,3,4,12,降低,1. 在每個專案中指派備援業務或團隊成員，共同參與關鍵會議及掌握進度，降低專案完全依賴單一業務的風險。,,12.00,N/A
1063,切入AI、生成式AI、AIOT、IOT、區塊鏈應用與碳權領域,增加Enterprise及Embedded產品Roadmap,產品研發群 戴子然(NICK),SBM產品行銷部,"2024年開發以下產品. 共計4項產品. 1.1TB以上之大容量PCIe Gen4 SSD for AI PC應用 2.16GB以上之LPCAMM2  for AI PC應用 3.Enterprise PCIe Gen5 SSD for AI server應用 4.CXL2.0 E3.S for AI server應用  2025年新產品規劃. 共計2項產品. 1.UFS4.0 for AI smart phone應用 2.DDR5 MR-DIMM for AI server應用  2024年專案開發進度:  #1已開發完成. SM2P41C8產品最大容量有達1TB. #2產品開發時程delay至2025/1H. #3產品開發時程delay至2025/1H. #4產品開發時程delay至2025/1H.",營運風險,"D.內部因素:     6. 因應全新產品線,公司無專精新產品/新技術/新應用之團隊導致產品競爭力不足","針對內部因素6情境, 提前規劃前瞻產品技術人才培養及建置. 建置前瞻團隊定期追蹤協會及原廠開發動態, 熟悉及研究新技術規格走向並建構公司自身技術know how.",-,-,產品研發群主管、產品行銷處主管,3,3,9,3,4,12,-,-,,10.80,N/A
1064,切入AI、生成式AI、AIOT、IOT、區塊鏈應用與碳權領域,提升AI專業技能,產品研發群 戴子然(NICK),資訊處,IT參與AWS AI企業認證通過27%,營運風險,"風險原因： 1. AI資源匱乏(包括人才, 技能和經驗) 2. 參與的IT人員無任何AI技術基礎 3. IT人員無充分時間上課和學習  風險影響： 對於未來公司推廣AI應用導入，IT無法提供充足的人才和專業的支援。",1. 11/15前完成考試報名 2. 11/26前完成線上課程 3. 12/10前完成模擬考試 4. 12/27前完成正式考試,-,-,資訊處主管,4,1,4,3,1,3,-,-,,3.40,●主責單位風險評估值調整：「可能性-主責單位」可調整為3，「影響-主責單位」可調整為1。
1065,Margin Margin Margin x Profit Profit Profit,達成預算營業利益,採購資材群 吳宗庭(CHARLY),財會處,外幣曝險部位避險50%,財務風險,如發生以下狀況時，避險覆蓋率可能會無法達到50% 1.人員沒有按設定機制執行避險,"1.財務人員每月針對公司外匯收付、涉及外匯的交易作曝險部位預估, 針對遠期合同內容、費用結構進行初步評鑑後,選取1~3家合適的銀行, 依衍生性金融商品交易管理辦法經權責主管核准後進行交易。",-,-,財會處主管,3,3,9,3,3,9,-,-,,9.00,N/A
1066,永續發展ESG政策遵循,減碳,人力資源處 李英豪(FRANCE),蘇州管理處,推動智慧節能管理並提升蘇州生產中心綠電占比到蘇州總用電量的2.5%,ESG永續風險,氣候變遷帶來問題 (例如，水旱災)，導致太陽能發電低於預期，直接造成綠電目標不達標。,蘇州規劃增加太陽能板量體來增加綠電產量，以確保達成目標。,-,-,蘇州管理處主管,1,2,2,1,2,2,-,-,,2.00,N/A
1067,Margin Margin Margin x Profit Profit Profit,達成預算營業利益,採購資材群 吳宗庭(CHARLY),生產事業群,製造單位變動成本降低5%,營運風險,因設備使用年限較久，設備老化导致設備故障率增加，需要增加維修費用。,2.1.通過對不同年限老舊設備定義不同的維護保養頻次，降低設備故障率從而降低維修成本，以及評估對老舊設備進行汰換從而降低維修成本； 2.2.通過提升廠內工程師作業技能替代廠商維修從而降低維修費用。,-,-,生產事業群,1,1,1,1,1,1,-,-,,1.40,N/A
1068,永續發展ESG政策遵循,減碳,人力資源處 李英豪(FRANCE),採購處,打造2024年供應鍊在地化，提高巴西/印度在地採購量20%  (由各分公司在地採買及減少降低送貨次數)  2023巴西包材: 當地0%;非當地100%，當地提升至20% 2023巴西MRO: 當地37%;非當地63%，當地提升至57% 2023印度包材: 當地2%;非當地98%，當地提升22% 2023印度MRO: 當地6%;非當地94%，當地提升26%,營運風險,當地沒有相關符合永續標準的產品和資源、或是原物料成本比進口成本高，造成營運成本提升。,鄰近國家替代solution or 備貨週期拉長，保證安全庫存水位。,-,-,採購資材群主管,2,2,4,2,2,4,-,-,,4.00,N/A
1069,降低庫存水位,庫存水位降至16週,產品行銷處 陳志瑋(IBSEN),採購處,減少進貨數量與金額。當庫存水位過高時，在一季度內庫存金額水位需降至16週以下。,營運風險,成本單價來自於與原廠議價結果，可能到不了目標價格。,策略性漸少購買量，降低margin偏低甚至是負毛利的可能性。,-,-,採購資材群主管,3,3,9,3,3,9,-,-,,9.00,N/A
1070,降低庫存水位,庫存水位降至16週,產品行銷處 陳志瑋(IBSEN),採購處,減少進貨數量與金額。當庫存水位過高時，在一季度內庫存金額水位需降至16週以下。,營運風險,供應商原廠壓力、LTA hit/rate合約達成率，進而影響進貨數量與成本。,LTA簽訂前，完善地準備下一年度需求評估資料(考量外來市場供需狀況、預估價格與預估銷售量)。,-,-,採購資材群主管,3,3,9,3,3,9,-,-,,9.00,N/A
